location_name,approx_lat,approx_lng,category,source_name,source_url,notes
Ambattur Estate Third Main Road / Ambattur Telephone Exchange,13.1148,80.1553,unsafe_road_no_footpath,Times of India,https://timesofindia.indiatimes.com/city/chennai/ambattur-estates-3rd-main-road-is-full-of-potholes-prone-to-accidents/articleshow/104117310.cms,"Named accident blackspot; report says at least 700 accidents were recorded near Ambattur Telephone Exchange over three years, with potholes and poor lighting. Historical report."
"Ambattur Estate High Road, 2nd Avenue junction to Chennai Bypass",13.1157,80.1604,poor_lighting,Times of India,https://timesofindia.indiatimes.com/city/chennai/chennai-parts-of-ambattur-estate-road-have-no-streetlights/articleshow/93563775.cms,About 200 m reported without streetlights; local residents also reported chain-snatching and theft on the stretch. Historical report.
"Ambattur Estate High Road, 2nd Avenue junction to Chennai Bypass",13.1157,80.1604,robbery_theft_prone,Times of India,https://timesofindia.indiatimes.com/city/chennai/chennai-parts-of-ambattur-estate-road-have-no-streetlights/articleshow/93563775.cms,Area-level/road-stretch report: residents complained of a spike in chain-snatching and theft. Historical report.
Nanganallur 5th Main Road,12.9791,80.19,poor_lighting,Times of India,https://timesofindia.indiatimes.com/city/chennai/let-there-be-light-on-these-chennai-roads/articleshow/105273954.cms,"GCC was reported to have found 1,375 non-working streetlight locations; the article specifically identifies Nanganallur 5th Main Road as lacking street lamps, with improvised bulbs. Historical report."
"Sadhasivam Nagar First Link Street, Madipakkam",12.9706,80.198,poor_lighting,Times of India,https://timesofindia.indiatimes.com/city/chennai/let-there-be-light-on-these-chennai-roads/articleshow/105273954.cms,Residents reported no streetlights; one resident said a flashlight was needed for about 150 m. Historical report.
"Kallukuttai, Perungudi — Bharani Street",12.9667,80.2465,poor_lighting,Times of India,https://timesofindia.indiatimes.com/city/chennai/let-there-be-light-on-these-chennai-roads/articleshow/105273954.cms,Named as a dark location; local councillor had fixed LED bulbs to TANGEDCO poles instead of dedicated streetlights. Historical report.
Thiruvottiyur bus stand / junction,13.159,80.3016,unsafe_transport_stop,Times of India,https://timesofindia.indiatimes.com/city/chennai/faulty-lights-leave-thiruvottiyur-bus-commuters-in-dark/articleshow/37928757.cms,High-mast lamp was reported non-functional; commuters found crossing difficult and the bus stand was described as unsafe for women at night. Historical report.
Korukkupet bus shelter,13.1178,80.2767,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as one of the city bus stops/shelters found unsafe for women.
Ambedkar College bus shelter (towards Central/Red Hills),13.1064,80.2673,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
Ashok Pillar bus shelter,13.0338,80.2128,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
IOC Nagar bus shelter,13.169,80.292,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
Muthamizh Nagar bus shelter,13.1665,80.289,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
Vyasarpadi Market bus shelter,13.1087,80.2581,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
"SIDCO bus shelter, Chennai",13.106,80.2255,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
Vasuki Nagar bus shelter,13.0218,80.2578,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
"Teacher Training College bus shelter, Chennai",13.0648,80.2764,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in a 2023 GCC/Safetipin/Prajnya safety audit as unsafe for women.
Saidapet bus shelter,13.0227,80.2225,unsafe_transport_stop,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2023/Jun/11/10-city-bus-shelters-unsafe-for-women-in-chennai-2583883.html,Named in the 2023 city bus-shelter safety audit; article notes this shelter was maintained by the highways department.
"Pillaiyar Kovil Street, Thoraipakkam",12.9417,80.2329,stalking,Times of India,https://timesofindia.indiatimes.com/city/chennai/man-arrested-for-stalking-techie-in-chennai/articleshow/131377450.cms,2026 police report of repeated stalking/harassment reported by a woman on this street; CCTV was used in the investigation. Location-only seed; no personal identifiers included.
"Sardar Patel Road, Guindy-Adyar corridor",13.0078,80.2387,unsafe_road_no_footpath,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2025/Oct/20/sardar-patel-and-gandhi-mandapam-road-footpaths-shrink-pedestrians-irked,"2025 report says road-extension work nearly halved footpath width, forcing pedestrians onto the carriageway. Area/stretch seed."
"Gandhi Mandapam Road, Chennai",13.0122,80.2434,unsafe_road_no_footpath,New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2025/Oct/20/sardar-patel-and-gandhi-mandapam-road-footpaths-shrink-pedestrians-irked,"2025 report says footpaths were reduced to nearly half their original width and some were too narrow, pushing pedestrians onto the road."
"Medavakkam Tank Road, Ayanavaram",13.1076,80.2335,unsafe_road_no_footpath,DT Next,https://www.dtnext.in/news/chennai/chennai-citizen-connect-pedestrians-suffer-due-to-unfinished-pavement-works-in-ayanavaram-855639,2025 report says an unfinished footpath stretch forced pedestrians onto the busy carriageway; rain also made the incomplete section unusable.
"Poonamallee High Road, Arumbakkam",13.0755,80.2110,unsafe_road_no_footpath,DT Next,https://www.dtnext.in/news/chennai/chennai-citizen-connect-damaged-footpaths-becoming-nightmare-for-pedestrians-818302,"2025 report: broken and encroached footpaths force pedestrians onto the road; named stretch in Arumbakkam, Chennai."
"Basin Bridge Road, Chennai",13.0982,80.2674,unsafe_road_no_footpath,DT Next,https://www.dtnext.in/news/chennai/chennai-citizen-connect-encroached-damaged-pavements-push-pedestrians-to-busy-road,2025 report: damaged/encroached pavement forces pedestrians onto the carriageway; GCC Zone 5 area.
"Perambur High Road, Stephenson Road to Perambur railway station",13.1115,80.2475,unsafe_road_no_footpath,DT Next,https://www.dtnext.in/news/chennai/perambur-high-road-no-place-for-pedestrians-846806,"2025 report: broken/inaccessible footpaths, missing drain covers and encroachments make pedestrian movement hazardous."
